,"Плотность, кг/м3","модуль упругости, ГПа","Количество отвердителя, м.%","Содержание эпоксидных групп,%_2","Температура вспышки, С_2","Поверхностная плотность, г/м2","Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Потребление смолы, г/м2","Угол нашивки, град",Шаг нашивки,Плотность нашивки
837,0.555335345615146,0.291501098249105,0.03833765225954234,0.008047706090261222,0.08143188360617795,0.09493683573407889,0.019920865453153937,0.7655832142029054,0.04549405619264651,0.025014373593533402,0.0010326463565824946,0.015494350126564705
838,0.5774542185965414,0.20338234928794474,0.029156619666475543,0.006064442062540152,0.0651104052271227,0.20047206480108185,0.02104417353372467,0.7575251456763289,0.0684099241192313,0.025750706534786408,0.0029720266873613406,0.015096116768510193
839,0.6837659355482081,0.3052939830264081,0.0278048882210435,0.006158790579173641,0.08010360716018992,0.15118618951947846,0.024347714130891016,0.6325682106928349,0.08408402824496843,0.030923955787119407,0.001969425963726892,0.020228424834704665
840,0.5711237904813488,0.1078250273670013,0.05139826448349563,0.005859337512230243,0.0823994438765541,0.06322025008011481,0.019910991485553205,0.8026626492510194,0.05603683456536685,0.02544070446409466,0.0019097305047934808,0.01655349489465006
841,0.6131342164503101,0.35252047288686716,0.03923007730051933,0.007491283685131302,0.10458778863520767,0.155462438242072,0.024667944773105677,0.675012859375392,0.07501636436191424,0.02888461640977109,0.003550262683999134,0.01918872344995268
842,0.6269980635185726,0.1369763354383994,0.04847881412246252,0.0067545835450566714,0.1061657957896154,0.010780498666154999,0.023058363658716507,0.7496298926311846,0.10400111734186115,0.028804170903765743,0.0027475337703682435,0.01405599646483721
843,0.6887023827458106,0.1260937569716973,0.04153405037284791,0.007679097145066172,0.10632945716713768,0.29501373883882037,0.02322071372364039,0.6331384809710331,0.08259769240503283,0.031225930389177283,0.0030194485259241555,0.021358717042478315
844,0.6507303831985964,0.1394053457281396,0.030741692653135318,0.006387108241167656,0.10339575161003879,0.1391563489133781,0.022851545923757818,0.7210052532646571,0.0672787521651949,0.030181970593330918,0.0012125704844127452,0.016293547696387287
845,0.5643116383277506,0.24136352886211257,0.040575800691496834,0.006638841403995594,0.06857221476381774,0.08239254865531644,0.01921177535459642,0.778490506508496,0.054283111239254396,0.02352611123810008,0.0008361038554364911,0.014052653593280652
846,0.5835466999295527,0.3295218018018219,0.03444076960956972,0.005745515247222753,0.08499797905315869,0.10333696346939471,0.021346839337475346,0.7256945462010125,0.06120379490396906,0.026539040100108442,0.00357519517916035,0.014662878415002576
847,0.632662275275976,0.21116766212483115,0.020481939187096888,0.008532428215621208,0.09101061533001922,0.2653027356373581,0.02256293740892774,0.6834682137283105,0.08441845545381968,0.028960060772697565,0.004072581044121078,0.01913755817262887
848,0.5563328650821551,0.1439665486506877,0.035561610214569106,0.0058251090481328165,0.08233160707629698,0.2386940531838233,0.02185549477133931,0.7757390374468113,0.03776191390094115,0.025986927767634393,0.0022446466601400766,0.018985090677428776
849,0.5122638641639151,0.1819023042331947,0.029873558444560556,0.005386929322284156,0.07895716466941932,0.022385357527501336,0.01911200171823924,0.8328651765304498,0.04416965226192034,0.024185569242430684,0.002629713241838813,0.01637108370106789
850,0.606565804936839,0.1739998182392005,0.025796282428216924,0.007055960851960958,0.07125731389408116,0.0977308624256661,0.020033273094104024,0.7593905539953278,0.09204437001484478,0.02546539601338817,0.001824161844741122,0.016077965336038523
851,0.5433607500705557,0.12032146535311744,0.04046290937828493,0.0074976560138797785,0.060021755528445846,0.04414204361898743,0.01974210833082318,0.8225437201269516,0.07244055560331772,0.024680014056911025,0.0012159035454780956,0.014529599181576137
852,0.7056839735096301,0.09419080205966207,0.05264740501868657,0.008479036711293022,0.10374954916274289,0.036914729464556734,0.026281383037155263,0.6852008045115352,0.08181245321123969,0.031439678240659186,0.0021219757484258806,0.01705360871943342
853,0.6157502401642644,0.3466076433006124,0.04463290640304258,0.006789248883547943,0.08578107089496927,0.06574979664375326,0.021121936447460233,0.6920957930841306,0.08104816368914296,0.027064435169925304,0.0027314291281412156,0.015610670347698502
854,0.5914164714229243,0.2940719731169057,0.04088569118411593,0.007669291602747755,0.08052470934484479,0.06045864195582209,0.023307502051607813,0.7357953172572037,0.09387471342664912,0.028344351144052975,0.001849210468073951,0.01791719246141167
855,0.582594795189059,0.24928989523615494,0.03128841996954252,0.005507406352016218,0.07200539477078806,0.08980948588879822,0.02044806729654364,0.7614513830314362,0.05477501579771316,0.025040579270154604,0.0020483129426406353,0.017893424567546886
856,0.7543826117645492,0.09921685166654412,0.05344561432937757,0.00813912636649825,0.10598324681583293,0.23630423214952886,0.027084487352506265,0.5819135040853494,0.09928043452235143,0.03466382814796688,0.0034687190645701907,0.02531719260526725
857,0.6565170430073135,0.10150641547841685,0.039360481722937886,0.0076982444030452134,0.09841202058160607,0.11953249510573519,0.023089171614977165,0.7250161886435069,0.07512826873754437,0.02889176283571818,0.0030724218837974034,0.020744928238900055
858,0.7966976891524217,0.30030277406003886,0.02833619634744579,0.008982916003420001,0.12335382310477683,0.16008175330502242,0.029629697430060373,0.4765952930061591,0.06019175759336887,0.03608030075714317,0.001881163077259303,0.020388794153769176
859,0.583180080012064,0.4392418299317098,0.03120577430869605,0.006459421208923759,0.08108937251078276,0.11423034037232647,0.02171620968504759,0.6654047260490212,0.04672386081407812,0.026320889789635232,0.0025191361030640624,0.014516541605383022
860,0.5380872651914829,0.23533414958744095,0.034663093127515456,0.006154373635074665,0.08135865734820419,0.34340220021223755,0.021074435782820408,0.7200597774198875,0.096807929155982,0.026140163614284645,0.002281986928734562,0.017484817226819473
861,0.5670150380358471,0.23691898171186904,0.02221641167619068,0.006483306188417679,0.07054608881708944,0.0019016648899901878,0.020224552750675702,0.7835033819294168,0.04036821913781162,0.025246112377532843,0.0014009188992038127,0.017084193076609574
862,0.5491700136861579,0.17518093738404905,0.024641019943780734,0.0059563700912945265,0.07520053641021045,0.0934696546150418,0.020340386393138704,0.8057855110378668,0.04282528348987052,0.026082485129100448,0.0009980770802917578,0.021685520858032496
